HK,Residual,Psipred,CA
64.24,70.93,74.89,61.27
64.24,70.94,74.9,61.28
64.25,70.95,74.92,61.34
64.27,70.98,74.93,61.36
64.28,71.02,74.94,61.38
64.28,71.03,74.95,61.4
64.33,71.04,74.97,61.44
64.34,71.05,74.97,61.46
64.35,71.08,75,61.47
64.36,71.08,75.02,61.47
64.4,71.09,75.03,61.48
64.4,71.1,75.04,61.5
64.41,71.11,75.05,61.5
64.46,71.14,75.06,61.53
64.47,71.15,75.07,61.53
64.52,71.15,75.07,61.57
64.67,71.17,75.08,61.63
64.69,71.17,75.09,61.64
64.7,71.22,75.09,61.65
64.71,71.24,75.13,61.7
64.74,71.25,75.13,61.72
64.76,71.3,75.15,61.73
64.8,71.3,75.15,61.75
64.8,71.31,75.17,61.83
64.81,71.32,75.17,61.83
64.85,71.33,75.18,61.84
64.88,71.34,75.19,61.92
65.02,71.42,75.2,61.94
65.05,71.43,75.21,61.98
65.1,71.44,75.22,61.99
65.1,71.47,75.23,62.01
65.14,71.48,75.23,62.02
65.16,71.52,75.28,62.04
65.18,71.54,75.28,62.05
65.18,71.55,75.29,62.08
65.18,71.55,75.31,62.09
65.18,71.56,75.31,62.09
65.21,71.56,75.33,62.22
65.22,71.58,75.34,62.29
65.23,71.59,75.35,62.29
65.26,71.59,75.39,62.3
65.27,71.64,75.42,62.31
65.27,71.67,75.44,62.35
65.3,71.68,75.44,62.35
65.31,71.69,75.49,62.4
65.31,71.7,75.53,62.44
65.33,71.71,75.55,62.46
65.34,71.74,75.55,62.53
65.36,71.78,75.55,62.54
65.38,71.79,75.55,62.58
65.38,71.8,75.56,62.64
65.44,71.88,75.57,62.66
65.46,71.89,75.58,62.73
65.47,71.89,75.58,63.03
65.47,71.9,75.59,63.17
65.48,71.91,75.61,63.17
65.48,71.99,75.64,63.18
65.52,72,75.65,63.22
65.54,72.01,75.65,63.23
65.56,72.03,75.65,63.28
65.56,72.03,75.67,63.32
65.57,72.06,75.68,63.38
65.58,72.08,75.71,63.45
65.61,72.1,75.73,63.48
65.65,72.11,75.75,63.52
65.69,72.13,75.76,63.53
65.71,72.13,75.76,63.53
65.74,72.14,75.77,63.55
65.78,72.16,75.79,63.55
65.79,72.21,75.8,63.64
65.82,72.21,75.81,63.81
65.85,72.22,75.83,63.83
65.87,72.23,75.83,63.84
65.88,72.24,75.84,63.92
65.9,72.24,75.88,63.94
65.9,72.25,75.88,63.98
65.91,72.29,75.88,63.98
65.96,72.29,75.88,64.12
65.96,72.32,75.88,64.13
66,72.35,75.89,64.14
66.01,72.36,75.9,64.17
66.01,72.43,75.91,64.17
66.01,72.46,75.91,64.3
66.03,72.46,75.93,64.3
66.06,72.51,75.93,64.33
66.07,72.6,75.93,64.35
66.11,72.6,75.94,64.39
66.12,72.64,75.94,64.41
66.18,72.64,75.94,64.42
66.2,72.65,75.94,64.43
66.24,72.7,75.95,64.47
66.28,72.75,75.95,64.48
66.33,72.78,75.96,64.5
66.36,72.81,75.96,64.53
66.4,72.83,76.01,64.54
66.41,72.83,76.02,64.55
66.41,72.9,76.03,64.56
66.43,72.91,76.05,64.57
66.46,72.93,76.07,64.61
66.48,72.95,76.08,64.61
66.49,72.96,76.08,64.65
66.53,72.97,76.08,64.94
66.54,72.97,76.09,64.98
66.56,73,76.09,65
66.57,73.01,76.1,65.03
66.58,73.01,76.1,65.13
66.6,73.02,76.1,65.2
66.62,73.05,76.1,65.32
66.65,73.07,76.12,65.33
66.65,73.08,76.12,65.38
66.66,73.1,76.12,65.38
66.69,73.13,76.14,65.41
66.69,73.14,76.14,65.41
66.71,73.15,76.14,65.44
66.71,73.16,76.15,65.46
66.72,73.21,76.17,65.46
66.78,73.22,76.17,65.51
66.78,73.24,76.17,65.77
66.87,73.24,76.18,65.86
66.88,73.27,76.22,65.99
66.88,73.27,76.22,66.03
66.9,73.28,76.23,66.05
66.9,73.29,76.26,66.2
66.9,73.32,76.26,66.21
66.91,73.39,76.27,66.25
66.91,73.42,76.27,66.48
66.93,73.44,76.28,66.49
66.97,73.47,76.3,66.73
66.97,73.5,76.31,66.74
66.98,73.52,76.32,66.88
66.99,73.53,76.32,66.94
66.99,73.53,76.32,67.05
66.99,73.54,76.34,67.08
67.11,73.55,76.34,67.21
67.13,73.56,76.35,67.21
67.14,73.57,76.36,67.34
67.15,73.6,76.36,67.37
67.15,73.61,76.37,67.4
67.15,73.61,76.4,67.48
67.16,73.63,76.4,67.52
67.18,73.64,76.4,67.56
67.21,73.64,76.42,67.57
67.23,73.65,76.42,67.59
67.27,73.7,76.43,67.66
67.29,73.71,76.44,67.68
67.31,73.71,76.47,67.71
67.35,73.74,76.48,67.82
67.38,73.76,76.49,67.92
67.38,73.78,76.5,67.94
67.4,73.81,76.51,67.97
67.43,73.83,76.51,68.03
67.44,73.83,76.51,68.09
67.46,73.84,76.55,68.11
67.46,73.84,76.57,68.16
67.47,73.88,76.57,68.21
67.49,73.88,76.57,68.25
67.49,73.88,76.58,68.34
67.54,73.89,76.58,68.54
